id_fecha;Pauta;Fecha;Flag_timing;dia_laboral;nro_registros;nro_registros_condni;nro_aprobados;nro_pre_aprobado;nro_sin_campaña;gestionado;contactado;derivacion_Ope;desembolso_m_tlmk;desembolso_m_tlmk_neto;desembolso_n_tlmk;desembolso_n_total;desembolso_m_neto_total;desembolso_n_eds;desembolso_m_neto_eds
250131;9.Otros;2025-01-09;0;7.0;69;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;2.Escolar;2025-02-18;0;15.0;90;71;0;6;65;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-03;0;2.0;160;146;27;30;89;26;23;9;3800;3277.48;1;3;8300.98;2;5023.5
250228;6.Ahorros;2025-02-01;1;1.0;9;5;0;0;5;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-20;0;17.0;18;18;0;0;18;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-24;0;20.0;29;25;0;0;25;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-06;0;5.0;86;44;8;4;32;8;7;1;500;500.0;1;3;4800.0;2;4300.0
250228;9.Otros;2025-02-16;0;0.0;27;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-27;0;23.0;143;46;24;1;21;22;12;6;7800;7800.0;3;3;7800.0;0;0.0
250331;1.Aprobado;2025-03-17;0;14.0;15;13;0;0;13;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-21;0;18.0;37;32;0;4;28;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-01;1;1.0;24;22;3;10;9;5;5;1;0;0.0;0;1;3000.0;1;3000.0
250331;4.Camp_QR;2025-03-27;0;23.0;2;2;0;1;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-22;0;19.0;13;10;0;0;10;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-21;0;18.0;196;143;4;22;117;10;5;5;4500;3739.63;2;2;3739.63;0;0.0
250331;9.Otros;2025-03-25;0;21.0;461;197;47;51;99;95;54;28;16700;16700.0;9;11;19100.0;2;2400.0
250131;1.Aprobado;2025-01-22;0;18.0;28;24;2;0;22;2;1;1;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-19;0;0.0;108;11;2;0;9;2;2;1;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-18;0;15.0;49;22;2;1;19;2;2;2;6000;6000.0;2;2;6000.0;0;0.0
250228;1.Aprobado;2025-02-11;0;9.0;68;61;1;9;51;2;2;1;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-23;0;0.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-08;0;7.0;15;13;0;0;13;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-23;0;0.0;14;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-20;0;17.0;81;74;0;8;66;3;3;0;0;0.0;0;0;0.0;0;0.0
250331;2.Escolar;2025-03-16;0;0.0;38;4;0;0;4;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-19;0;16.0;2;2;0;1;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-19;0;16.0;17;16;0;0;16;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-27;0;23.0;18;18;0;0;18;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-08;0;7.0;92;45;4;14;27;23;19;14;20800;20800.0;9;11;23363.0;2;2563.0
250131;1.Aprobado;2025-01-16;0;13.0;55;47;9;1;37;9;9;4;5300;5300.0;2;2;5300.0;0;0.0
250131;5.Otro_add;2025-01-22;0;18.0;230;205;1;13;191;2;1;1;300;300.0;1;1;300.0;0;0.0
250131;6.Ahorros;2025-01-03;0;2.0;26;2;0;0;2;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-05;0;0.0;4;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-31;0;26.0;59;33;9;5;19;7;5;4;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-03;0;2.0;53;45;1;3;41;1;1;1;3000;3000.0;1;1;3000.0;0;0.0
250228;1.Aprobado;2025-02-15;0;13.0;43;26;0;3;23;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-07;0;6.0;207;196;20;42;134;19;12;4;0;0.0;0;1;8300.0;1;8300.0
250228;4.Camp_QR;2025-02-25;0;21.0;49;46;6;16;24;6;5;3;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-27;0;23.0;36;35;3;14;18;4;3;1;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-01;1;1.0;8;5;0;1;4;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-26;0;22.0;1;1;0;1;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-26;0;22.0;13;12;0;0;12;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-06;0;4.0;31;4;0;0;4;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-14;0;12.0;55;48;1;1;46;1;0;0;0;0.0;0;1;4800.0;1;4800.0
250228;1.Aprobado;2025-02-16;0;0.0;39;2;1;0;1;1;1;1;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-25;0;21.0;338;273;0;14;259;1;1;0;0;0.0;0;0;0.0;0;0.0
250228;3.Camp_act;2025-02-11;0;9.0;35;30;0;4;26;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-11;0;9.0;153;147;16;39;92;17;12;3;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-24;0;20.0;60;58;7;13;38;6;4;1;0;0.0;0;1;1114.16;1;1114.16
250228;6.Ahorros;2025-02-06;0;5.0;16;13;0;0;13;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-08;0;7.0;73;34;3;4;27;3;2;1;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-15;0;13.0;1;1;0;1;0;1;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-18;0;15.0;3;3;0;2;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-21;0;18.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
